ts: 2021-04-20 08:30:00.134498670, order_id, 2, side, BUY, price, 118.725, qty, 1,
ts: 2021-04-20 08:50:38.952731635, order_id, 367, side, SELL, price, 118.475, qty, 1,
ts: 2021-04-20 08:50:41.653567063, order_id, 368, side, SELL, price, 118.5, qty, 1,
ts: 2021-04-20 08:50:54.046863877, order_id, 369, side, SELL, price, 118.45, qty, 1,
ts: 2021-04-20 08:51:19.642180277, order_id, 371, side, SELL, price, 118.45, qty, 1,
ts: 2021-04-20 08:52:00.093902475, order_id, 378, side, BUY, price, 118.35, qty, 1,
ts: 2021-04-20 08:52:05.313763392, order_id, 379, side, SELL, price, 118.325, qty, 1,
ts: 2021-04-20 08:53:03.737498172, order_id, 391, side, BUY, price, 118.675, qty, 1,
ts: 2021-04-20 08:53:51.811408810, order_id, 396, side, SELL, price, 118.675, qty, 1,
ts: 2021-04-20 08:54:14.170035164, order_id, 397, side, BUY, price, 118.7, qty, 1,
ts: 2021-04-20 08:54:51.009676527, order_id, 401, side, BUY, price, 118.675, qty, 1,
ts: 2021-04-20 08:55:15.956404359, order_id, 403, side, SELL, price, 118.675, qty, 1,
ts: 2021-04-20 08:55:35.822738968, order_id, 405, side, SELL, price, 118.7, qty, 1,
ts: 2021-04-20 08:58:40.698989417, order_id, 386, side, BUY, price, 118.5, qty, 1,
ts: 2021-04-20 08:58:43.384317278, order_id, 443, side, SELL, price, 118.5, qty, 1,
ts: 2021-04-20 09:02:09.213043699, order_id, 381, side, BUY, price, 118.375, qty, 1,
ts: 2021-04-20 09:02:26.600439799, order_id, 470, side, SELL, price, 118.45, qty, 1,
ts: 2021-04-20 09:12:42.433626625, order_id, 545, side, BUY, price, 118.225, qty, 1,
ts: 2021-04-20 09:13:11.111539345, order_id, 546, side, SELL, price, 118.15, qty, 1,
ts: 2021-04-20 09:14:49.539729558, order_id, 552, side, BUY, price, 118.175, qty, 1,
ts: 2021-04-20 09:15:09.711268078, order_id, 554, side, BUY, price, 118.2, qty, 1,
ts: 2021-04-20 09:17:02.933882028, order_id, 561, side, BUY, price, 118.2, qty, 1,
ts: 2021-04-20 09:17:52.524755143, order_id, 564, side, BUY, price, 118.175, qty, 1,
ts: 2021-04-20 09:18:00.481583087, order_id, 569, side, BUY, price, 118.175, qty, 1,
ts: 2021-04-20 09:18:18.853401117, order_id, 570, side, BUY, price, 118.175, qty, 1,
ts: 2021-04-20 09:28:58.536065659, order_id, 593, side, SELL, price, 118.2, qty, 1,
ts: 2021-04-20 09:29:54.561269607, order_id, 596, side, BUY, price, 118.25, qty, 1,
ts: 2021-04-20 09:32:33.528325455, order_id, 607, side, SELL, price, 118.325, qty, 1,
ts: 2021-04-20 09:33:30.675106869, order_id, 609, side, SELL, price, 118.325, qty, 1,
ts: 2021-04-20 09:34:09.520327844, order_id, 612, side, BUY, price, 118.25, qty, 1,
ts: 2021-04-20 09:35:33.949832339, order_id, 615, side, SELL, price, 118.3, qty, 1,
ts: 2021-04-20 09:35:37.265137921, order_id, 617, side, SELL, price, 118.275, qty, 1,
ts: 2021-04-20 09:36:14.006294016, order_id, 618, side, SELL, price, 118.3, qty, 1,
ts: 2021-04-20 09:38:05.256316202, order_id, 633, side, BUY, price, 118.35, qty, 1,
ts: 2021-04-20 09:39:26.685701141, order_id, 640, side, BUY, price, 118.475, qty, 1,
ts: 2021-04-20 09:39:29.938216504, order_id, 641, side, BUY, price, 118.475, qty, 1,
ts: 2021-04-20 09:39:32.290879334, order_id, 642, side, BUY, price, 118.475, qty, 1,
ts: 2021-04-20 09:46:10.695451969, order_id, 673, side, SELL, price, 118.3, qty, 1,
ts: 2021-04-20 09:47:03.968399972, order_id, 678, side, SELL, price, 118.275, qty, 2,
ts: 2021-04-20 09:48:42.194730633, order_id, 684, side, SELL, price, 118.3, qty, 1,
ts: 2021-04-20 09:49:00.144399471, order_id, 691, side, BUY, price, 118.3, qty, 1,
ts: 2021-04-20 09:49:40.121210341, order_id, 693, side, BUY, price, 118.35, qty, 1,
ts: 2021-04-20 09:51:02.434287516, order_id, 694, side, BUY, price, 118.325, qty, 1,
ts: 2021-04-20 09:51:06.960075005, order_id, 696, side, SELL, price, 118.325, qty, 2,
ts: 2021-04-20 09:51:06.960265935, order_id, 697, side, SELL, price, 118.325, qty, 1,
ts: 2021-04-20 09:51:26.648053805, order_id, 698, side, BUY, price, 118.35, qty, 1,
ts: 2021-04-20 09:56:39.476357390, order_id, 701, side, BUY, price, 118.2, qty, 1,
ts: 2021-04-20 09:59:10.452596920, order_id, 704, side, BUY, price, 118.3, qty, 1,
ts: 2021-04-20 10:00:05.126501774, order_id, 702, side, BUY, price, 118.25, qty, 1,
ts: 2021-04-20 10:00:24.144554282, order_id, 705, side, SELL, price, 118.25, qty, 3,
ts: 2021-04-20 10:04:24.203323152, order_id, 713, side, SELL, price, 118.425, qty, 1,
ts: 2021-04-20 10:05:52.604594584, order_id, 711, side, BUY, price, 118.325, qty, 1,
ts: 2021-04-20 10:07:01.726532522, order_id, 715, side, SELL, price, 118.325, qty, 1,
ts: 2021-04-20 10:08:25.636143205, order_id, 718, side, BUY, price, 118.425, qty, 1,
ts: 2021-04-20 10:11:23.994650003, order_id, 727, side, BUY, price, 118.45, qty, 1,
ts: 2021-04-20 10:16:39.780529207, order_id, 730, side, SELL, price, 118.55, qty, 1,
ts: 2021-04-20 10:16:49.645757229, order_id, 731, side, SELL, price, 118.55, qty, 1,
ts: 2021-04-20 10:17:43.876302495, order_id, 732, side, SELL, price, 118.55, qty, 1,
ts: 2021-04-20 10:17:57.210870220, order_id, 733, side, SELL, price, 118.55, qty, 1,
ts: 2021-04-20 10:18:11.140732032, order_id, 728, side, BUY, price, 118.5, qty, 1,
ts: 2021-04-20 10:18:20.978525329, order_id, 735, side, SELL, price, 118.5, qty, 1,
ts: 2021-04-20 10:18:56.814887242, order_id, 740, side, BUY, price, 118.525, qty, 1,
ts: 2021-04-20 10:19:14.804109582, order_id, 741, side, SELL, price, 118.525, qty, 1,
ts: 2021-04-20 10:25:18.077059178, order_id, 759, side, BUY, price, 118.45, qty, 1,
ts: 2021-04-20 10:25:28.257920307, order_id, 725, side, BUY, price, 118.4, qty, 1,
ts: 2021-04-20 10:34:11.013336987, order_id, 766, side, BUY, price, 118.475, qty, 1,
ts: 2021-04-20 10:40:22.404823358, order_id, 771, side, SELL, price, 118.8, qty, 1,
ts: 2021-04-20 10:40:28.218536952, order_id, 772, side, SELL, price, 118.85, qty, 1,
ts: 2021-04-20 10:41:02.814237132, order_id, 773, side, SELL, price, 118.95, qty, 1,
ts: 2021-04-20 10:43:01.796885200, order_id, 774, side, BUY, price, 118.975, qty, 1,
ts: 2021-04-20 10:43:02.407822292, order_id, 775, side, BUY, price, 118.975, qty, 1,
ts: 2021-04-20 10:43:10.523613356, order_id, 776, side, BUY, price, 118.95, qty, 1,
ts: 2021-04-20 10:43:23.034097164, order_id, 778, side, BUY, price, 119.075, qty, 1,
ts: 2021-04-20 10:43:26.787365540, order_id, 777, side, BUY, price, 119.025, qty, 1,
ts: 2021-04-20 10:43:45.134566500, order_id, 779, side, SELL, price, 119.025, qty, 1,
ts: 2021-04-20 10:43:50.237629153, order_id, 780, side, SELL, price, 119.025, qty, 1,
ts: 2021-04-20 10:45:05.592701697, order_id, 781, side, SELL, price, 119.075, qty, 1,
ts: 2021-04-20 10:46:39.171105161, order_id, 783, side, BUY, price, 119.05, qty, 1,
ts: 2021-04-20 10:46:42.680985158, order_id, 785, side, SELL, price, 119.05, qty, 1,
ts: 2021-04-20 10:46:42.682569021, order_id, 784, side, SELL, price, 119.1, qty, 1,
ts: 2021-04-20 10:46:44.471179604, order_id, 786, side, SELL, price, 119.1, qty, 1,
ts: 2021-04-20 10:52:28.869913392, order_id, 804, side, BUY, price, 119.325, qty, 1,
ts: 2021-04-20 10:52:28.873693438, order_id, 802, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 10:52:42.559430765, order_id, 806, side, BUY, price, 119.35, qty, 1,
ts: 2021-04-20 10:52:58.691337619, order_id, 807, side, BUY, price, 119.325, qty, 1,
ts: 2021-04-20 10:53:01.212846987, order_id, 808, side, BUY, price, 119.325, qty, 1,
ts: 2021-04-20 10:53:14.386049018, order_id, 809, side, SELL, price, 119.325, qty, 1,
ts: 2021-04-20 10:54:29.118496905, order_id, 805, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 10:54:36.634460636, order_id, 811, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 10:58:57.558202984, order_id, 813, side, SELL, price, 119.45, qty, 1,
ts: 2021-04-20 10:58:58.277985024, order_id, 815, side, SELL, price, 119.475, qty, 1,
ts: 2021-04-20 10:59:03.000771797, order_id, 816, side, SELL, price, 119.45, qty, 1,
ts: 2021-04-20 10:59:40.175342452, order_id, 814, side, SELL, price, 119.525, qty, 1,
ts: 2021-04-20 11:01:25.574046748, order_id, 818, side, SELL, price, 119.55, qty, 1,
ts: 2021-04-20 11:01:36.815301127, order_id, 822, side, BUY, price, 119.55, qty, 1,
ts: 2021-04-20 11:03:01.649368785, order_id, 820, side, BUY, price, 119.5, qty, 1,
ts: 2021-04-20 11:03:57.113270909, order_id, 828, side, BUY, price, 119.55, qty, 1,
ts: 2021-04-20 11:04:24.015226784, order_id, 827, side, BUY, price, 119.5, qty, 1,
ts: 2021-04-20 11:05:19.025469629, order_id, 833, side, SELL, price, 119.55, qty, 1,
ts: 2021-04-20 11:05:20.207914014, order_id, 834, side, SELL, price, 119.55, qty, 1,
ts: 2021-04-20 11:05:55.587450968, order_id, 835, side, SELL, price, 119.55, qty, 1,
ts: 2021-04-20 11:06:07.774957906, order_id, 836, side, SELL, price, 119.575, qty, 1,
ts: 2021-04-20 11:06:24.925726533, order_id, 839, side, BUY, price, 119.7, qty, 1,
ts: 2021-04-20 11:06:34.034488340, order_id, 840, side, SELL, price, 119.775, qty, 1,
ts: 2021-04-20 11:07:12.795310201, order_id, 838, side, BUY, price, 119.625, qty, 1,
ts: 2021-04-20 11:08:08.772441280, order_id, 842, side, SELL, price, 119.625, qty, 1,
ts: 2021-04-20 11:08:17.556223796, order_id, 843, side, SELL, price, 119.65, qty, 1,
ts: 2021-04-20 11:11:13.211973882, order_id, 846, side, BUY, price, 119.7, qty, 1,
ts: 2021-04-20 11:12:07.308939417, order_id, 847, side, SELL, price, 119.675, qty, 1,
ts: 2021-04-20 11:13:21.186309853, order_id, 852, side, BUY, price, 119.75, qty, 1,
ts: 2021-04-20 11:13:53.687892255, order_id, 857, side, SELL, price, 119.725, qty, 1,
ts: 2021-04-20 11:18:11.725200104, order_id, 865, side, BUY, price, 119.725, qty, 1,
ts: 2021-04-20 11:21:07.685906521, order_id, 864, side, BUY, price, 119.675, qty, 1,
ts: 2021-04-20 11:21:15.173846822, order_id, 845, side, BUY, price, 119.625, qty, 1,
ts: 2021-04-20 11:21:32.342724523, order_id, 867, side, SELL, price, 119.625, qty, 1,
ts: 2021-04-20 11:21:55.032180449, order_id, 869, side, SELL, price, 119.65, qty, 1,
ts: 2021-04-20 11:24:31.426850247, order_id, 871, side, SELL, price, 119.7, qty, 1,
ts: 2021-04-20 11:35:27.990951071, order_id, 881, side, BUY, price, 119.625, qty, 1,
ts: 2021-04-20 11:36:41.996112464, order_id, 884, side, SELL, price, 119.625, qty, 1,
ts: 2021-04-20 11:45:11.160151679, order_id, 892, side, BUY, price, 119.475, qty, 1,
ts: 2021-04-20 11:45:13.044569215, order_id, 893, side, SELL, price, 119.5, qty, 1,
ts: 2021-04-20 11:49:31.702597904, order_id, 896, side, BUY, price, 119.325, qty, 1,
ts: 2021-04-20 11:49:48.703824858, order_id, 898, side, SELL, price, 119.275, qty, 1,
ts: 2021-04-20 11:50:34.953897955, order_id, 900, side, BUY, price, 119.2, qty, 1,
ts: 2021-04-20 11:51:01.848571904, order_id, 901, side, SELL, price, 119.2, qty, 1,
ts: 2021-04-20 11:53:26.478128254, order_id, 906, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 11:53:51.912437783, order_id, 907, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 11:54:29.464172447, order_id, 908, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 11:55:07.731402552, order_id, 909, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 11:56:21.806619903, order_id, 911, side, BUY, price, 119.325, qty, 1,
ts: 2021-04-20 11:56:40.558541063, order_id, 910, side, BUY, price, 119.275, qty, 1,
ts: 2021-04-20 12:04:26.118969915, order_id, 913, side, SELL, price, 119.375, qty, 1,
ts: 2021-04-20 12:05:25.990133355, order_id, 914, side, SELL, price, 119.375, qty, 1,
ts: 2021-04-20 12:05:29.629092906, order_id, 915, side, SELL, price, 119.375, qty, 1,
ts: 2021-04-20 12:10:00.686845956, order_id, 920, side, BUY, price, 119.25, qty, 1,
ts: 2021-04-20 12:10:33.293543572, order_id, 921, side, SELL, price, 119.25, qty, 1,
ts: 2021-04-20 12:11:15.374146827, order_id, 922, side, BUY, price, 119.225, qty, 1,
ts: 2021-04-20 12:12:05.093536826, order_id, 923, side, BUY, price, 119.25, qty, 1,
ts: 2021-04-20 12:14:40.050502799, order_id, 927, side, BUY, price, 119.25, qty, 1,
ts: 2021-04-20 12:18:15.281216153, order_id, 931, side, SELL, price, 119.175, qty, 1,
ts: 2021-04-20 12:19:21.437167948, order_id, 932, side, BUY, price, 119.25, qty, 1,
ts: 2021-04-20 12:20:43.241545765, order_id, 935, side, SELL, price, 119.2, qty, 1,
ts: 2021-04-20 12:21:41.245924088, order_id, 936, side, SELL, price, 119.175, qty, 1,
ts: 2021-04-20 12:23:47.214101757, order_id, 939, side, BUY, price, 119.15, qty, 1,
ts: 2021-04-20 12:24:37.697180377, order_id, 947, side, BUY, price, 119.225, qty, 1,
ts: 2021-04-20 12:35:20.424429961, order_id, 949, side, SELL, price, 119.275, qty, 1,
ts: 2021-04-20 12:37:00.182608655, order_id, 950, side, SELL, price, 119.275, qty, 1,
ts: 2021-04-20 12:45:29.746190518, order_id, 964, side, SELL, price, 119.3, qty, 1,
ts: 2021-04-20 12:46:30.079524183, order_id, 967, side, SELL, price, 119.275, qty, 1,
ts: 2021-04-20 12:59:41.510986784, order_id, 1012, side, SELL, price, 119.2, qty, 1,
ts: 2021-04-20 13:00:00.223236592, order_id, 1020, side, BUY, price, 119.175, qty, 1,
ts: 2021-04-20 13:04:17.995421758, order_id, 1027, side, BUY, price, 119.175, qty, 1,
